epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,158.125,0.82493,0.50535,1.05028,0.83048,0.85672,0.87978,0.55196,1.35274,0.77726,1.47571,0.000215774,0.000215774,0.000215774
43,161.367,0.81539,0.49268,1.02329,0.84582,0.83866,0.87865,0.55039,1.36179,0.7894,1.46308,0.000204769,0.000204769,0.000204769
44,165.321,0.77379,0.48125,1.01161,0.87505,0.82023,0.86873,0.54916,1.34526,0.79679,1.464,0.000193763,0.000193763,0.000193763
45,168.902,0.78792,0.48772,1.024,0.86268,0.83149,0.86905,0.55639,1.34679,0.80396,1.4628,0.000182758,0.000182758,0.000182758
46,172.157,0.78429,0.47836,1.01416,0.83994,0.85188,0.88279,0.56596,1.35972,0.78251,1.48261,0.000171752,0.000171752,0.000171752
47,175.452,0.75634,0.4585,1.02242,0.80734,0.91527,0.87851,0.5501,1.38508,0.78073,1.48787,0.000160747,0.000160747,0.000160747
48,179.73,0.75301,0.47462,0.98981,0.84115,0.88263,0.88342,0.55598,1.37143,0.80527,1.48246,0.000149741,0.000149741,0.000149741
49,182.921,0.73805,0.46012,0.99169,0.84946,0.89717,0.89318,0.56479,1.37344,0.78565,1.4673,0.000138736,0.000138736,0.000138736
50,186.179,0.71198,0.43359,0.96421,0.85622,0.88268,0.89265,0.55349,1.37004,0.79354,1.47616,0.000127731,0.000127731,0.000127731
51,192.52,0.70321,0.46142,0.98553,0.85293,0.86331,0.88904,0.54817,1.39106,0.78563,1.50175,0.000116725,0.000116725,0.000116725
52,196.174,0.64253,0.38297,0.96048,0.86164,0.8596,0.89801,0.55239,1.42509,0.78425,1.52918,0.00010572,0.00010572,0.00010572
53,199.471,0.64117,0.40181,0.94748,0.80024,0.90154,0.89498,0.55688,1.42271,0.76642,1.53346,9.4714e-05,9.4714e-05,9.4714e-05
54,202.914,0.61953,0.37816,0.94201,0.80549,0.89568,0.89313,0.56139,1.40649,0.77611,1.52456,8.37085e-05,8.37085e-05,8.37085e-05
55,206.81,0.61978,0.37907,0.95361,0.80112,0.90485,0.89266,0.55886,1.39695,0.80047,1.52255,7.2703e-05,7.2703e-05,7.2703e-05
56,210.111,0.61514,0.37664,0.95726,0.82901,0.8874,0.89963,0.56722,1.37421,0.81589,1.50891,6.16975e-05,6.16975e-05,6.16975e-05
57,213.439,0.5816,0.34446,0.93011,0.78187,0.91236,0.89704,0.56344,1.36408,0.81703,1.50032,5.0692e-05,5.0692e-05,5.0692e-05
58,217.306,0.57218,0.34859,0.91104,0.81076,0.88505,0.89583,0.56341,1.35851,0.81283,1.49579,3.96865e-05,3.96865e-05,3.96865e-05
59,220.824,0.57268,0.35292,0.93147,0.83919,0.90062,0.90063,0.56344,1.36035,0.80327,1.49704,2.8681e-05,2.8681e-05,2.8681e-05
60,224.106,0.56863,0.36805,0.93366,0.84252,0.90068,0.89792,0.56261,1.36033,0.79573,1.49694,1.76755e-05,1.76755e-05,1.76755e-05
